vertical,brand,model_title,collection_handle,breadcrumb_labels,breadcrumb_handles,aliases
sneakers,nike,Nike,nike,Sneakers > Nike,sneakers > nike,"nike"
sneakers,nike,Nike Mind 001,nike-mind,Sneakers > Nike > Nike Mind 001,sneakers > nike > nike-mind,"nike mind, mind 001, nike mind 001"
sneakers,nike,Nike Air Max,nike-air-max,Sneakers > Nike > Nike Air Max,sneakers > nike > nike-air-max,"air max, nike air max"
sneakers,nike,Air Max Plus TN,nike-air-max-plus-tn,Sneakers > Nike > Nike Air Max > Air Max Plus TN,sneakers > nike > nike-air-max > nike-air-max-plus-tn,"tn, air max plus, am plus, tuned air"
sneakers,nike,Air Max 95,nike-air-max-95,Sneakers > Nike > Nike Air Max > Air Max 95,sneakers > nike > nike-air-max > nike-air-max-95,"am95, air max 95, neon"
sneakers,nike,Air Max 1,nike-air-max-one,Sneakers > Nike > Nike Air Max > Air Max 1,sneakers > nike > nike-air-max > nike-air-max-one,"am1, air max 1, air max one"
sneakers,nike,Air Max 90,nike-air-max-90,Sneakers > Nike > Nike Air Max > Air Max 90,sneakers > nike > nike-air-max > nike-air-max-90,"am90, air max 90"
sneakers,nike,Air Max 97,nike-air-max-97,Sneakers > Nike > Nike Air Max > Air Max 97,sneakers > nike > nike-air-max > nike-air-max-97,"am97, air max 97, silver bullet"
sneakers,nike,Zoom Vomero 5,vomero,Sneakers > Nike > Nike Vomero 5,sneakers > nike > vomero,"vomero 5, vomero5, zoom vomero, nike vomero"
sneakers,nike,Nike Dunk,nike-dunk,Sneakers > Nike > Nike Dunk,sneakers > nike > nike-dunk,"dunk, nike dunk"
sneakers,nike,SB Dunk,dunk-sb,Sneakers > Nike > Nike Dunk > Nike SB Dunk,sneakers > nike > nike-dunk > dunk-sb,"sb dunk, dunk sb, nike sb"
sneakers,nike,Dunk Low,dunk-low,Sneakers > Nike > Nike Dunk > Dunk Low,sneakers > nike > nike-dunk > dunk-low,"dunk low, nike dunk low, dl"
sneakers,nike,Dunk High,nike-dunk-high,Sneakers > Nike > Nike Dunk > Dunk High,sneakers > nike > nike-dunk > nike-dunk-high,"dunk high, nike dunk high, dh"
sneakers,nike,Nike Air Force 1,nike-air-force-1,Sneakers > Nike > Nike Air Force 1,sneakers > nike > nike-air-force-1,"air force 1, af1"
sneakers,nike,Air Force 1 Low,nike-air-force-1,Sneakers > Nike > Nike Air Force 1,sneakers > nike > nike-air-force-1,"air force 1 low, af1 low"
sneakers,nike,P-6000,p-6000,Sneakers > Nike > Nike P-6000,sneakers > nike > p-6000,"p6000, p 6000, nike p-6000"
sneakers,nike,Blazer,nike-blazer,Sneakers > Nike > Nike Blazer,sneakers > nike > nike-blazer,"blazer mid, blazer low, nike blazer"
sneakers,nike,Shox,nike-shox,Sneakers > Nike > Nike Shox,sneakers > nike > nike-shox,"shox r4, shox tl, nike shox"
sneakers,nike,Nike x Sacai,nike-x-sacai,Sneakers > Nike > Nike x Sacai,sneakers > nike > nike-x-sacai,"nike sacai, sacai nike, nike x sacai"
