timestamp,handle,collection_id,old_title,new_title,old_description,new_description
2026-07-02T20:00:57.194Z,toutes-nos-paires,gid://shopify/Collection/442430816545,Toutes nos sneakers (catalogue complet) | Livraison Suisse – Resell Lausanne,Toutes nos sneakers (catalogue complet) | Livraison Suisse,,
2026-07-02T20:00:57.576Z,adidas-samba,gid://shopify/Collection/481546338593,Adidas Samba Suisse | Sneakers Iconiques & Nouveautés - Resell Lausanne,Adidas Samba Suisse | Sneakers Iconiques & Nouveautés,,
2026-07-02T20:00:57.937Z,adidas,gid://shopify/Collection/487500513569,"Adidas Sneakers Suisse | Samba, Gazelle, Campus & Plus - Resell Lausanne","Adidas Sneakers Suisse | Samba, Gazelle, Campus & Plus",,
2026-07-02T20:00:58.298Z,adidas-gazelle,gid://shopify/Collection/487500579105,Adidas Gazelle Suisse | Sneakers Rétro Intemporelles - Resell Lausanne,Adidas Gazelle Suisse | Sneakers Rétro Intemporelles,,
2026-07-02T20:00:58.648Z,9060,gid://shopify/Collection/647273578882,New Balance 9060 Suisse | Sneakers Y2K Futuristes - Resell Lausanne,New Balance 9060 Suisse | Sneakers Y2K Futuristes,,
2026-07-02T20:00:59.034Z,vomero,gid://shopify/Collection/647273611650,Nike Vomero 5 Suisse | Sneakers Running Rétro-Tech - Resell Lausanne,Nike Vomero 5 Suisse | Sneakers Running Rétro-Tech,,
2026-07-02T20:00:59.406Z,puma-speedcat,gid://shopify/Collection/665673793922,Puma Speedcat Suisse | Sneakers Racing Iconiques - Resell Lausanne,Puma Speedcat Suisse | Sneakers Racing Iconiques,,
2026-07-02T20:00:59.800Z,chaussure-de-basket,gid://shopify/Collection/666500563330,Chaussures de Basketball Suisse | Performance & Style - Resell Lausanne,Chaussures de Basketball Suisse | Performance & Style,,
2026-07-02T20:01:00.245Z,nike-air-max-one,gid://shopify/Collection/666932019586,Nike Air Max 1 Suisse | Sneakers Iconiques Air Visible - Resell Lausanne,Nike Air Max 1 Suisse | Sneakers Iconiques Air Visible,,
2026-07-02T20:01:00.602Z,adidas-campus,gid://shopify/Collection/668026438018,Adidas Campus Suisse | Sneakers Emblématiques Années 80 - Resell Lausanne,Adidas Campus Suisse | Sneakers Emblématiques Années 80,,
2026-07-02T20:01:01.151Z,vetements,gid://shopify/Collection/668027060610,Vêtements Streetwear Suisse | Mode Urbaine Premium - Resell Lausanne,Vêtements Streetwear Suisse | Mode Urbaine Premium,,
2026-07-02T20:01:01.494Z,fear-of-god-essentials,gid://shopify/Collection/668027158914,Fear of God Essentials Suisse | Vêtements Minimalistes - Resell Lausanne,Fear of God Essentials Suisse | Vêtements Minimalistes,,
2026-07-02T20:01:01.885Z,sp5der,gid://shopify/Collection/668027191682,Sp5der Suisse | Sélection & Nouveautés Young Thug - Resell Lausanne,Sp5der Suisse | Sélection & Nouveautés Young Thug,,
2026-07-02T20:01:02.283Z,asics-gel-nimbus,gid://shopify/Collection/668027453826,ASICS Gel-Nimbus Suisse | Sneakers Running Premium - Resell Lausanne,ASICS Gel-Nimbus Suisse | Sneakers Running Premium,,
2026-07-02T20:01:02.634Z,air-jordan-1-high,gid://shopify/Collection/668027519362,Air Jordan 1 Retro High Suisse | Sneakers Iconiques - Resell Lausanne,Air Jordan 1 Retro High Suisse | Sneakers Iconiques,,
2026-07-02T20:01:03.112Z,air-jordan-1-mid,gid://shopify/Collection/668027650434,Air Jordan 1 Mid Suisse | Sneakers Basketball Iconiques - Resell Lausanne,Air Jordan 1 Mid Suisse | Sneakers Basketball Iconiques,,
2026-07-02T20:01:03.624Z,air-jordan-1-low,gid://shopify/Collection/668027715970,Air Jordan 1 Low Suisse | Sneakers Légères & Iconiques - Resell Lausanne,Air Jordan 1 Low Suisse | Sneakers Légères & Iconiques,,
2026-07-02T20:01:04.024Z,new-balance,gid://shopify/Collection/668027748738,"New Balance Suisse | Sneakers 550, 530, 2002R & Plus - Resell Lausanne","New Balance Suisse | Sneakers 550, 530, 2002R & Plus",,
2026-07-02T20:01:04.416Z,new-balance-2002r,gid://shopify/Collection/668027879810,New Balance 2002R Suisse | Sneakers Running Premium - Resell Lausanne,New Balance 2002R Suisse | Sneakers Running Premium,,
2026-07-02T20:01:04.851Z,new-balance-550,gid://shopify/Collection/668027978114,New Balance 550 Suisse | Sneakers Rétro Basket Cuir - Resell Lausanne,New Balance 550 Suisse | Sneakers Rétro Basket Cuir,,
2026-07-02T20:01:05.174Z,new-balance-530,gid://shopify/Collection/668028043650,New Balance 530 Suisse | Sneakers Running 90's Rétro - Resell Lausanne,New Balance 530 Suisse | Sneakers Running 90's Rétro,,
2026-07-02T20:01:05.510Z,enfant,gid://shopify/Collection/676874191234,Sneakers Enfant Tailles 35.5-40 Suisse | Junior - Resell Lausanne,Sneakers Enfant Tailles 35.5-40 Suisse | Junior,,
2026-07-02T20:01:05.908Z,ugg-lowmell,gid://shopify/Collection/676877631874,UGG Lowmell Suisse | Sneakers Confort Moderne - Resell Lausanne,UGG Lowmell Suisse | Sneakers Confort Moderne,,
2026-07-02T20:01:06.389Z,lowmel-lo,gid://shopify/Collection/676877730178,UGG Lowmell Lo Suisse | Sneakers Basses Confort - Resell Lausanne,UGG Lowmell Lo Suisse | Sneakers Basses Confort,,
2026-07-02T20:01:06.759Z,ugg-tazz,gid://shopify/Collection/676877795714,UGG Tazz Suisse | Pantoufles Plateforme Tendance - Resell Lausanne,UGG Tazz Suisse | Pantoufles Plateforme Tendance,,
2026-07-02T20:01:07.208Z,ugg-tasman,gid://shopify/Collection/676877861250,UGG Tasman Suisse | Pantoufles Confort Iconiques - Resell Lausanne,UGG Tasman Suisse | Pantoufles Confort Iconiques,,
2026-07-02T20:01:07.571Z,ugg-mini-boot,gid://shopify/Collection/676877926786,UGG Ultra Mini Boot Suisse | Bottines Compactes Tendance - Resell Lausanne,UGG Ultra Mini Boot Suisse | Bottines Compactes Tendance,,
2026-07-02T20:01:07.992Z,yeezy,gid://shopify/Collection/678081397122,"Yeezy Suisse | Sneakers 350, 700, Foam Runner & Slides - Resell Lausanne","Yeezy Suisse | Sneakers 350, 700, Foam Runner & Slides",,
2026-07-02T20:01:08.339Z,onitsuka-tiger-mexico,gid://shopify/Collection/678081692034,Onitsuka Tiger Mexico 66 Suisse | Sneakers Rétro Japonaises - Resell Lausanne,Onitsuka Tiger Mexico 66 Suisse | Sneakers Rétro Japonaises,,
2026-07-02T20:01:08.714Z,onitsuka-tokuten,gid://shopify/Collection/678081757570,Onitsuka Tokuten Suisse | Sneakers Rétro Japonaises - Resell Lausanne,Onitsuka Tokuten Suisse | Sneakers Rétro Japonaises,,
2026-07-02T20:01:09.103Z,asics-quantum,gid://shopify/Collection/678081855874,ASICS Gel-Quantum Suisse | Sneakers Technologie Gel - Resell Lausanne,ASICS Gel-Quantum Suisse | Sneakers Technologie Gel,,
2026-07-02T20:01:09.561Z,asics-running,gid://shopify/Collection/678082085250,ASICS Running Suisse | Sneakers Performance & Confort - Resell Lausanne,ASICS Running Suisse | Sneakers Performance & Confort,,
2026-07-02T20:01:09.909Z,adidas-sl72,gid://shopify/Collection/678082609538,Adidas SL72 Suisse | Sneakers Olympiques Rétro - Resell Lausanne,Adidas SL72 Suisse | Sneakers Olympiques Rétro,,
2026-07-02T20:01:10.251Z,asics-gel-lyt-iii,gid://shopify/Collection/678082707842,ASICS Gel-Lyte III Suisse | Sneakers Iconiques 1990 - Resell Lausanne,ASICS Gel-Lyte III Suisse | Sneakers Iconiques 1990,,
2026-07-02T20:01:10.690Z,adidas-taekwendo,gid://shopify/Collection/678083330434,Adidas Taekwondo Suisse | Sneakers Arts Martiaux - Resell Lausanne,Adidas Taekwondo Suisse | Sneakers Arts Martiaux,,
2026-07-02T20:01:11.056Z,adidas-rivalry,gid://shopify/Collection/678083395970,Adidas Rivalry Suisse | Sneakers Basketball Rétro - Resell Lausanne,Adidas Rivalry Suisse | Sneakers Basketball Rétro,,
2026-07-02T20:01:11.436Z,adidas-ultra-boost,gid://shopify/Collection/678083461506,Adidas Ultra Boost Suisse | Sneakers Running Premium - Resell Lausanne,Adidas Ultra Boost Suisse | Sneakers Running Premium,,
2026-07-02T20:01:11.799Z,adidas-stan-smith,gid://shopify/Collection/678083527042,Adidas Stan Smith Suisse | Sneakers Tennis Iconiques - Resell Lausanne,Adidas Stan Smith Suisse | Sneakers Tennis Iconiques,,
2026-07-02T20:01:12.176Z,new-balance-1906l,gid://shopify/Collection/678084444546,New Balance 1906L Suisse | Sneakers Techniques Modernes - Resell Lausanne,New Balance 1906L Suisse | Sneakers Techniques Modernes,,
2026-07-02T20:01:12.495Z,new-balance-990,gid://shopify/Collection/678084804994,New Balance 990-999 Suisse | Séries Premium Made in USA - Resell Lausanne,New Balance 990-999 Suisse | Séries Premium Made in USA,,
2026-07-02T20:01:12.859Z,air-jordan-5,gid://shopify/Collection/678085034370,Air Jordan 5 Suisse | Sneakers Basketball Iconiques - Resell Lausanne,Air Jordan 5 Suisse | Sneakers Basketball Iconiques,,
2026-07-02T20:01:13.212Z,air-jordan-6,gid://shopify/Collection/678085099906,Air Jordan 6 Suisse | Sneakers Premier Titre NBA 1991 - Resell Lausanne,Air Jordan 6 Suisse | Sneakers Premier Titre NBA 1991,,
2026-07-02T20:01:13.607Z,autre-jordan,gid://shopify/Collection/678085165442,Autres Jordan Collaborations Suisse | Modèles Exclusifs - Resell Lausanne,Autres Jordan Collaborations Suisse | Modèles Exclusifs,,
2026-07-02T20:01:14.017Z,air-jordan-x-travis-scott,gid://shopify/Collection/678085198210,Air Jordan × Travis Scott Suisse | Collabs Exclusives - Resell Lausanne,Air Jordan × Travis Scott Suisse | Collabs Exclusives,,
2026-07-02T20:01:14.374Z,nike-cortez,gid://shopify/Collection/678085230978,Nike Cortez Suisse | Sneakers Iconiques Années 70 - Resell Lausanne,Nike Cortez Suisse | Sneakers Iconiques Années 70,,
2026-07-02T20:01:14.759Z,nike-x-off-white,gid://shopify/Collection/678085329282,Nike × Off-White Suisse | Collabs Virgil Abloh Exclusives - Resell Lausanne,Nike × Off-White Suisse | Collabs Virgil Abloh Exclusives,,
2026-07-02T20:01:15.195Z,asics-gel,gid://shopify/Collection/678085689730,ASICS Gel Suisse | Collection Complète Amorti Gel - Resell Lausanne,ASICS Gel Suisse | Collection Complète Amorti Gel,,
2026-07-02T20:01:15.593Z,running,gid://shopify/Collection/678088868226,Sneakers Running Suisse | Performance & Endurance - Resell Lausanne,Sneakers Running Suisse | Performance & Endurance,,
2026-07-02T20:01:16.012Z,slide-mules,gid://shopify/Collection/678088933762,Slides & Mules Suisse | Sandales Confort & Style - Resell Lausanne,Slides & Mules Suisse | Sandales Confort & Style,,
2026-07-02T20:01:16.424Z,birkenstock,gid://shopify/Collection/678129533314,Birkenstock Suisse | Sandales Confort Orthopédiques - Resell Lausanne,Birkenstock Suisse | Sandales Confort Orthopédiques,,
2026-07-02T20:01:16.828Z,crocs,gid://shopify/Collection/678129566082,Crocs Suisse | Sabots Confort & Collaborations - Resell Lausanne,Crocs Suisse | Sabots Confort & Collaborations,,
2026-07-02T20:01:17.183Z,yeezy-slide,gid://shopify/Collection/678129598850,Yeezy Slide Suisse | Sandales Minimalistes Confort - Resell Lausanne,Yeezy Slide Suisse | Sandales Minimalistes Confort,,
2026-07-02T20:01:17.549Z,yeezy-350,gid://shopify/Collection/678129697154,Yeezy Boost 350 Suisse | Sneakers Iconiques Kanye West - Resell Lausanne,Yeezy Boost 350 Suisse | Sneakers Iconiques Kanye West,,
2026-07-02T20:01:18.346Z,autre-yeezy,gid://shopify/Collection/678129795458,Autres Yeezy Suisse | Modèles Rares & Exclusifs - Resell Lausanne,Autres Yeezy Suisse | Modèles Rares & Exclusifs,,
2026-07-02T20:01:18.779Z,skateboard,gid://shopify/Collection/678129992066,"Sneakers Skateboard Suisse | Vans, Nike SB & Plus - Resell Lausanne","Sneakers Skateboard Suisse | Vans, Nike SB & Plus",,
2026-07-02T20:01:19.186Z,foam-rnr,gid://shopify/Collection/678130254210,Yeezy Foam Runner Suisse | Sneakers Futuristes Écologiques - Resell Lausanne,Yeezy Foam Runner Suisse | Sneakers Futuristes Écologiques,,
2026-07-02T20:01:19.560Z,air-jordan-3,gid://shopify/Collection/678130516354,Air Jordan 3 Suisse | Sneakers Légendaires 1988 - Resell Lausanne,Air Jordan 3 Suisse | Sneakers Légendaires 1988,,
2026-07-02T20:01:19.935Z,court-tenis-retro,gid://shopify/Collection/678132121986,Sneakers Court Tennis Rétro Suisse | Style Classique - Resell Lausanne,Sneakers Court Tennis Rétro Suisse | Style Classique,,
2026-07-02T20:01:20.276Z,retro-sneakers,gid://shopify/Collection/678133170562,Retro Sneakers Suisse | Modèles Iconiques Vintage - Resell Lausanne,Retro Sneakers Suisse | Modèles Iconiques Vintage,,
2026-07-02T20:01:20.680Z,retro-basket,gid://shopify/Collection/678133956994,Retro Basket Suisse | Sneakers Basketball Vintage - Resell Lausanne,Retro Basket Suisse | Sneakers Basketball Vintage,,
2026-07-02T20:01:21.092Z,puma,gid://shopify/Collection/678134415746,"Puma Suisse | Sneakers Speedcat, Suede & Plus - Resell Lausanne","Puma Suisse | Sneakers Speedcat, Suede & Plus",,
2026-07-02T20:01:21.467Z,moins-de-150chf,gid://shopify/Collection/678135038338,Sneakers Moins de 150 CHF Suisse | Prix Accessibles - Resell Lausanne,Sneakers Moins de 150 CHF Suisse | Prix Accessibles,,
2026-07-02T20:01:21.818Z,moins-de-100chf,gid://shopify/Collection/678135136642,Sneakers Moins de 100 CHF Suisse | Meilleures Affaires - Resell Lausanne,Sneakers Moins de 100 CHF Suisse | Meilleures Affaires,,
2026-07-02T20:01:22.262Z,femme,gid://shopify/Collection/678135366018,Sneakers Femme Suisse | Tendances & Exclusivités - Resell Lausanne,Sneakers Femme Suisse | Tendances & Exclusivités,,
2026-07-02T20:01:22.669Z,homme,gid://shopify/Collection/678135726466,Sneakers Homme Suisse | Sélection Exclusive Premium - Resell Lausanne,Sneakers Homme Suisse | Sélection Exclusive Premium,,
2026-07-02T20:01:23.101Z,t-shirt,gid://shopify/Collection/678136807810,T-Shirts Streetwear Suisse | Marques Premium & Collabs - Resell Lausanne,T-Shirts Streetwear Suisse | Marques Premium & Collabs,,
2026-07-02T20:01:23.512Z,puffer,gid://shopify/Collection/678137168258,Doudounes Puffer Suisse | Vestes Matelassées Streetwear - Resell Lausanne,Doudounes Puffer Suisse | Vestes Matelassées Streetwear,,
2026-07-02T20:01:23.859Z,tech,gid://shopify/Collection/678137332098,Vêtements Tech & Performance Suisse | Sportswear Premium - Resell Lausanne,Vêtements Tech & Performance Suisse | Sportswear Premium,,
2026-07-02T20:01:24.276Z,bonnet-et-casquette,gid://shopify/Collection/678138380674,Bonnets & Casquettes Suisse | Accessoires Streetwear - Resell Lausanne,Bonnets & Casquettes Suisse | Accessoires Streetwear,,
2026-07-02T20:01:24.693Z,sac,gid://shopify/Collection/678142869890,"Sacs & Accessoires Suisse | Sacs à Dos, Crossbody & Sport - Resell Lausanne","Sacs & Accessoires Suisse | Sacs à Dos, Crossbody & Sport",,
2026-07-02T20:01:25.030Z,pokemon,gid://shopify/Collection/678144344450,Pokémon Trading Cards Suisse | Cartes à Collectionner - Resell Lausanne,Pokémon Trading Cards Suisse | Cartes à Collectionner,,
2026-07-02T20:01:25.426Z,labubu,gid://shopify/Collection/678144508290,Labubu Suisse | Figurines de Collection Pop Mart - Resell Lausanne,Labubu Suisse | Figurines de Collection Pop Mart,,
2026-07-02T20:01:25.786Z,denim-tears,gid://shopify/Collection/678145327490,Denim Tears Suisse | Marque Tremaine Emory Exclusive - Resell Lausanne,Denim Tears Suisse | Marque Tremaine Emory Exclusive,,
2026-07-02T20:01:26.291Z,off-white,gid://shopify/Collection/678145393026,Off-White Vêtements Suisse | Streetwear Virgil Abloh - Resell Lausanne,Off-White Vêtements Suisse | Streetwear Virgil Abloh,,
2026-07-02T20:01:26.658Z,vetement-travis,gid://shopify/Collection/678145458562,Vêtements Travis Scott Suisse | Merch & Collabs Exclusifs - Resell Lausanne,Vêtements Travis Scott Suisse | Merch & Collabs Exclusifs,,
2026-07-02T20:01:27.112Z,pas-sneakers,gid://shopify/Collection/678175703426,Pas-Sneakers Suisse | Vêtements & Accessoires Streetwear - Resell Lausanne,Pas-Sneakers Suisse | Vêtements & Accessoires Streetwear,,
2026-07-02T20:01:27.536Z,soldes,gid://shopify/Collection/679186432386,Soldes Suisse | Sneakers & Vêtements en Promotion - Resell Lausanne,Soldes Suisse | Sneakers & Vêtements en Promotion,,
2026-07-02T20:01:27.907Z,lego-star-wars,gid://shopify/Collection/681981411714,LEGO® Star Wars™ Suisse | Sets à Construire & Collectionner - Resell Lausanne,LEGO® Star Wars™ Suisse | Sets à Construire & Collectionner,,
2026-07-02T20:01:28.264Z,lego-technic,gid://shopify/Collection/681981739394,LEGO® Technic™ Suisse | Modèles Réalistes à Construire - Resell Lausanne,LEGO® Technic™ Suisse | Modèles Réalistes à Construire,,
2026-07-02T20:01:28.620Z,lego-harry-potter,gid://shopify/Collection/681982067074,LEGO® Harry Potter™ Suisse | Hogwarts & Sets Mythiques - Resell Lausanne,LEGO® Harry Potter™ Suisse | Hogwarts & Sets Mythiques,,
2026-07-02T20:01:29.006Z,lego-city,gid://shopify/Collection/681983082882,"LEGO® City Suisse | Sets Police, Pompiers & Véhicules - Resell Lausanne","LEGO® City Suisse | Sets Police, Pompiers & Véhicules",,
2026-07-02T20:01:29.392Z,lego-icons,gid://shopify/Collection/681983607170,LEGO® Icons Suisse | Sets Adultes & Décoration Collectors - Resell Lausanne,LEGO® Icons Suisse | Sets Adultes & Décoration Collectors,,
2026-07-02T20:01:29.750Z,lego-botanicals,gid://shopify/Collection/681983771010,LEGO® Botanicals Suisse | Fleurs LEGO & Déco à Offrir - Resell Lausanne,LEGO® Botanicals Suisse | Fleurs LEGO & Déco à Offrir,,
2026-07-02T20:01:30.365Z,lego-marvel,gid://shopify/Collection/681983934850,LEGO® Marvel Suisse | Super-Héros & Sets d'Action - Resell Lausanne,LEGO® Marvel Suisse | Super-Héros & Sets d'Action,,
2026-07-02T20:01:30.719Z,lego-ninjago,gid://shopify/Collection/681983967618,"LEGO® NINJAGO® Suisse | Dragons, Véhicules & Univers Ninja - Resell Lausanne","LEGO® NINJAGO® Suisse | Dragons, Véhicules & Univers Ninja",,
2026-07-02T20:01:31.073Z,lego-friends,gid://shopify/Collection/681984033154,LEGO® Friends Suisse | Sets Créatifs & Personnages - Resell Lausanne,LEGO® Friends Suisse | Sets Créatifs & Personnages,,
2026-07-02T20:01:31.375Z,lego-speed-champions,gid://shopify/Collection/681984328066,LEGO® Speed Champions Suisse | Voitures de Course & Supercars - Resell Lausanne,LEGO® Speed Champions Suisse | Voitures de Course,,
2026-07-02T20:01:31.756Z,lego-disney,gid://shopify/Collection/681984393602,"LEGO® Disney Suisse | Sets Disney, Princesses & Personnages - Resell Lausanne","LEGO® Disney Suisse | Sets Disney, Princesses & Personnages",,
2026-07-02T20:01:32.139Z,valentines-days,gid://shopify/Collection/684964086146,Saint-Valentin Suisse | Cadeaux & Promotions Spéciales - Resell Lausanne,Saint-Valentin Suisse | Cadeaux & Promotions Spéciales,,
2026-07-02T20:01:32.481Z,enchere-en-cours,gid://shopify/Collection/684966117762,Enchères en Cours Suisse | Participez Maintenant - Resell Lausanne,Enchères en Cours Suisse | Participez Maintenant,,
2026-07-02T20:01:32.823Z,on,gid://shopify/Collection/685678854530,ON Running Suisse | Sneakers Performance Suisses - Resell Lausanne,ON Running Suisse | Sneakers Performance Suisses,,
2026-07-02T20:01:33.217Z,les-meilleures-collaborations,gid://shopify/Collection/687821128066,Meilleures Collaborations Sneakers Travis Scott Nike Off-White — Resell Lausanne,Meilleures Collabs Nike x Travis Scott x Off-White,,
2026-07-02T20:01:33.585Z,supreme,gid://shopify/Collection/687832990082,Supreme Streetwear Collection – Shop Supreme | Resell Lausanne,Supreme Streetwear Collection – Shop Supreme,,
