collection_handle,collection_url,current_title,collection_type,indexation_recommendation,target_keyword,secondary_keywords,search_intent,commercial_priority,content_needed,internal_links_needed,schema_needed,merge_redirect_candidate,priority
toutes-nos-paires,/collections/toutes-nos-paires,Toutes nos paires,Core,index,sneakers Suisse,"baskets Suisse, acheter sneakers Suisse",commercial,critical,intro+FAQ,brand chips + sitemap,ItemList+Breadcrumb,no,P1
all,/collections/all,Tous les produits,Core,noindex-follow,,,navigational,low,none,brand chips,none,no,ok-noindex
nouveautes,/collections/nouveautes,Nouveautés,Core,index,nouveautes sneakers,"nouvelles sneakers, new arrivals sneakers Suisse",commercial,high,intro,brand chips,ItemList,no,P2
nike,/collections/nike,Nike,Brand,index,Nike sneakers Suisse,"baskets Nike, Nike Suisse, acheter Nike",commercial,critical,intro+FAQ+model chips,models+Jordan+sitemap+footer,ItemList+Breadcrumb+FAQ,no,P1
air-jordan,/collections/air-jordan,Air Jordan,Brand,index,Jordan sneakers Suisse,"Air Jordan Suisse, baskets Jordan, acheter Jordan",commercial,critical,intro+FAQ+model chips,models+Nike+sitemap+footer,ItemList+Breadcrumb+FAQ,no,P1
adidas,/collections/adidas,Adidas,Brand,index,Adidas sneakers Suisse,"baskets Adidas, Adidas Suisse",commercial,critical,intro+FAQ+model chips,models+Yeezy+sitemap,ItemList+Breadcrumb+FAQ,no,P1
new-balance,/collections/new-balance,New Balance,Brand,index,New Balance Suisse,"baskets New Balance, NB Suisse",commercial,high,intro+FAQ+model chips,models+sitemap,ItemList+Breadcrumb+FAQ,no,P1
asics,/collections/asics,ASICS,Brand,index,ASICS Suisse,"baskets ASICS, ASICS Gel Suisse",commercial,high,intro+FAQ+model chips,models+Onitsuka+sitemap,ItemList+Breadcrumb+FAQ,no,P1
yeezy,/collections/yeezy,Yeezy,Brand,index,Yeezy Suisse,"Adidas Yeezy, acheter Yeezy Suisse",commercial,high,intro+FAQ+model chips,models+Adidas,ItemList+Breadcrumb+FAQ,no,P2
puma,/collections/puma,Puma,Brand,index,Puma sneakers Suisse,"baskets Puma, Puma Speedcat",commercial,med,intro+FAQ,Speedcat chip,ItemList+Breadcrumb+FAQ,no,P2
ugg,/collections/ugg,UGG,Brand,index,UGG Suisse,"UGG Tazz, UGG Tasman Suisse",commercial,high,intro+FAQ+model chips,models+sitemap,ItemList+Breadcrumb+FAQ,no,P1
onitsuka-tiger,/collections/onitsuka-tiger,Onitsuka Tiger,Brand,index,Onitsuka Tiger Suisse,"Mexico 66, Tokuten Suisse",commercial,med,has-snippet,ASICS cross-link,ItemList+Breadcrumb+FAQ,no,P2
saucony,/collections/saucony,Saucony,Brand,index,Saucony Suisse,"Saucony ProGrid Suisse",commercial,low,intro,models,ItemList+Breadcrumb,no,P3
salomon,/collections/salomon,Salomon,Brand,index,Salomon Suisse,"Salomon XT-6 Suisse",commercial,med,has-snippet,menu,ItemList+Breadcrumb+FAQ,no,P2
on,/collections/on,On Running,Brand,index,On Running Suisse,"On Cloud Suisse",commercial,med,has-snippet,menu+running,ItemList+Breadcrumb,no,P2
converse,/collections/converse,Converse,Brand,index,Converse Suisse,"Chuck Taylor Suisse",commercial,low,has-snippet,menu,ItemList+Breadcrumb+FAQ,no,P3
