timestamp,product_id,handle,title,chars
2026-07-05T15:06:19.040Z,gid://shopify/Product/14824417001858,"nike-air-max-terrascape-plus-pure-platinum-gym-red","Nike Air Max Terrascape Plus Pure Platinum Gym Red",1296
2026-07-05T15:06:19.650Z,gid://shopify/Product/14824425030018,"nike-air-max-plus-supreme-green","Nike Air Max Plus Supreme Mean Green",1301
2026-07-05T15:06:20.211Z,gid://shopify/Product/14824425390466,"nike-air-max-plus-supreme-white","Nike Air Max Plus Supreme White",1135
2026-07-05T15:06:20.975Z,gid://shopify/Product/14824425587074,"nike-air-max-95-central-cee-live-yours","Nike Air Max 95 Central Cee Live Yours",1300
2026-07-05T15:06:21.541Z,gid://shopify/Product/14824426635650,"nike-air-max-95-sp-a-ma-maniere-while-you-were-sleeping","Nike Air Max 95 SP A Ma Maniére While You Were Sleeping",1324
2026-07-05T15:06:22.121Z,gid://shopify/Product/14824428241282,"nike-air-max-95-essential-triple-black","Nike Air Max 95 Essential Triple Black",1084
2026-07-05T15:06:22.828Z,gid://shopify/Product/14896528294274,"adidas-samba-black-white-gum","adidas Samba OG Black White Gum",971
2026-07-05T15:06:23.430Z,gid://shopify/Product/14896528425346,"adidas-samba-inter-miami-cf-messi-pink","adidas Samba Inter Miami CF Messi Pink",1233
2026-07-05T15:06:24.156Z,gid://shopify/Product/14896528490882,"adidas-samba-lt-black-white-womens","adidas Samba LT Black White (Women's)",1296
2026-07-05T15:06:24.670Z,gid://shopify/Product/14896528589186,"adidas-samba-nylon-wales-bonner-desert-white","adidas Samba Nylon Wales Bonner Desert White",1315
2026-07-05T15:06:25.377Z,gid://shopify/Product/14896528720258,"adidas-samba-nylon-wales-bonner-wonder-clay-royal","adidas Samba Nylon Wales Bonner Wonder Clay Royal",1358
2026-07-05T15:06:25.978Z,gid://shopify/Product/14896528785794,"adidas-samba-og-75th-anniversary-pack-black","adidas Samba OG 75th Anniversary Pack Black",1491
2026-07-05T15:06:26.597Z,gid://shopify/Product/14896528851330,"adidas-samba-og-aluminum-gum-womens","adidas Samba OG Aluminum Gum (Women's)",1356
2026-07-05T15:06:27.140Z,gid://shopify/Product/14896529080706,"adidas-samba-og-black-pink-ribbon-laces-womens","adidas Samba OG Black Pink Ribbon Laces (Women's)",1278
2026-07-05T15:06:27.779Z,gid://shopify/Product/14896529277314,"adidas-samba-og-black-wonder-white-womens","adidas Samba OG Black Wonder White (Women's)",1383
2026-07-05T15:07:33.651Z,gid://shopify/Product/14896529310082,"adidas-samba-og-brown-putty-grey","adidas Samba OG Brown Putty Grey",1340
2026-07-05T15:07:34.378Z,gid://shopify/Product/14896529342850,"adidas-samba-og-collegiate-green-womens","adidas Samba OG Collegiate Green (Women's)",1158
2026-07-05T15:07:34.983Z,gid://shopify/Product/14896529375618,"adidas-samba-og-cream-white-preloved-brown","adidas Samba OG Cream White Preloved Brown",1283
2026-07-05T15:07:35.593Z,gid://shopify/Product/14896529441154,"adidas-samba-og-cream-white-sand-strata-womens","adidas Samba OG Cream White Sand Strata (Women's)",1279
2026-07-05T15:07:36.122Z,gid://shopify/Product/14896529473922,"adidas-samba-og-dark-brown-tweed","adidas Samba OG Dark Brown Tweed",1166
2026-07-05T15:07:36.698Z,gid://shopify/Product/14896529506690,"adidas-samba-og-dia-de-muertos-pack-black","adidas Samba OG Día de Muertos Pack Black",1139
2026-07-05T15:07:37.231Z,gid://shopify/Product/14896529539458,"adidas-samba-og-earth-strata-gum-womens","adidas Samba OG Earth Strata Gum (Women's)",1259
2026-07-05T15:07:37.847Z,gid://shopify/Product/14896529572226,"adidas-samba-og-footwear-white-green","adidas Samba OG Footwear White Green",1192
2026-07-05T15:07:38.379Z,gid://shopify/Product/14896529637762,"adidas-samba-og-lucid-pink-womens","adidas Samba OG Lucid Pink (Women's)",1313
2026-07-05T15:07:39.113Z,gid://shopify/Product/14896529703298,"adidas-samba-og-maroon-crystal-sand-womens","adidas Samba OG Maroon Crystal Sand (Women's)",1367
2026-07-05T15:07:39.701Z,gid://shopify/Product/14896529834370,"adidas-samba-og-night-navy-gum","adidas Samba OG Night Navy Gum",1177
2026-07-05T15:07:40.379Z,gid://shopify/Product/14896529899906,"adidas-samba-og-cloud-white-core-black","adidas Samba OG Cloud White Core Black",1436
2026-07-05T15:07:40.940Z,gid://shopify/Product/14896529998210,"adidas-samba-og-silver-dawn-chalk","adidas Samba OG Silver Dawn Chalk",1227
2026-07-05T15:07:41.428Z,gid://shopify/Product/14896530030978,"adidas-samba-og-silver-metallic-black-gum-womens","adidas Samba OG Silver Metallic Black Gum (Women's)",1360
2026-07-05T15:07:42.178Z,gid://shopify/Product/14896530063746,"adidas-samba-og-white-burgundy-gum","adidas Samba OG White Burgundy Gum",1193
2026-07-05T15:08:48.926Z,gid://shopify/Product/14896530129282,"adidas-samba-og-white-halo-blue-gum-womens","adidas Samba OG White Halo Blue Gum (Women's)",1324
2026-07-05T15:08:49.552Z,gid://shopify/Product/14896530162050,"adidas-samba-og-white-solar-red-gum-womens","adidas Samba OG White Solar Red Gum (Women's)",1436
2026-07-05T15:08:50.141Z,gid://shopify/Product/14896530260354,"adidas-samba-og-wonder-beige-tweed","adidas Samba OG Wonder Beige Tweed",1300
2026-07-05T15:08:50.667Z,gid://shopify/Product/14896530293122,"adidas-samba-og-wonder-taupe-womens","adidas Samba OG Wonder Taupe (Women's)",1342
2026-07-05T15:08:51.203Z,gid://shopify/Product/14896530325890,"adidas-samba-og-wonder-white-maroon-womens","adidas Samba OG Wonder White Maroon (Women's)",1324
2026-07-05T15:08:51.740Z,gid://shopify/Product/14896530358658,"adidas-samba-wales-bonner-brown-croc","adidas Samba Wales Bonner Brown Croc",1271
2026-07-05T15:08:52.510Z,gid://shopify/Product/14896530391426,"adidas-sambae-denim-womens","adidas Sambae atmos Pink Denim (Women's)",1425
2026-07-05T15:08:53.070Z,gid://shopify/Product/14896530424194,"adidas-sambae-white-black-gum-womens","adidas Sambae White Black Gum (Women's)",1559
2026-07-05T15:08:53.645Z,gid://shopify/Product/14896530456962,"adidas-sambae-leopard-off-white-womens","adidas Sambae Leopard Off White (Women's)",1296
2026-07-05T15:08:54.159Z,gid://shopify/Product/14896530489730,"adidas-sambae-hello-kitty-womens","adidas Sambae Hello Kitty (Women's)",1448
2026-07-05T15:08:54.771Z,gid://shopify/Product/14896530522498,"adidas-handball-spezial-aluminum-core-black-womens","adidas Handball Spezial Aluminum Core Black (Women's)",1412
2026-07-05T15:08:55.503Z,gid://shopify/Product/14896530555266,"adidas-handball-spezial-black-gum","adidas Handball Spezial Black Gum",1056
2026-07-05T15:08:56.115Z,gid://shopify/Product/14896530653570,"adidas-handball-spezial-black-wonder-leopard-womens","adidas Handball Spezial Black Wonder Leopard (Women's)",1326
2026-07-05T15:08:56.695Z,gid://shopify/Product/14896530686338,"adidas-handball-spezial-bright-red-clear-pink-womens","adidas Handball Spezial Bright Red Clear Pink (Women's)",1454
2026-07-05T15:08:57.176Z,gid://shopify/Product/14896530719106,"adidas-handball-spezial-clear-pink-arctic-night-womens","adidas Handball Spezial Clear Pink Arctic Night (Women's)",1342
2026-07-05T15:10:01.998Z,gid://shopify/Product/14896530751874,"adidas-handball-spezial-collegiate-green-semi-green-spark-womens","adidas Handball Spezial Collegiate Green Semi Green Spark (Women's)",1347
2026-07-05T15:10:02.586Z,gid://shopify/Product/14896530784642,"adidas-handball-spezial-core-black-clear-pink-gum-womens","adidas Handball Spezial Core Black Clear Pink Gum (Women's)",1312
